N was 6
M was 7
113, arrived 21, Rejected 0, In line 21, at 10:53:0
114, arrived 21, Rejected 0, In line 21, at 10:54:0
115, arrived 22, Rejected 0, In line 22, at 10:55:0
116, arrived 26, Rejected 0, In line 26, at 10:56:0
117, arrived 24, Rejected 0, In line 24, at 10:57:0
118, arrived 20, Rejected 0, In line 20, at 10:58:0
119, arrived 32, Rejected 0, In line 32, at 10:59:0
120, arrived 37, Rejected 0, In line 37, at 11:0:0
121, arrived 37, Rejected 0, In line 37, at 11:1:0
122, arrived 45, Rejected 0, In line 45, at 11:2:0
123, arrived 50, Rejected 0, In line 53, at 11:3:0
124, arrived 60, Rejected 0, In line 71, at 11:4:0
125, arrived 55, Rejected 0, In line 84, at 11:5:0
126, arrived 48, Rejected 0, In line 90, at 11:6:0
127, arrived 43, Rejected 0, In line 91, at 11:7:0
128, arrived 49, Rejected 0, In line 98, at 11:8:0
129, arrived 43, Rejected 0, In line 99, at 11:9:0
130, arrived 41, Rejected 0, In line 98, at 11:10:0
131, arrived 40, Rejected 0, In line 96, at 11:11:0
132, arrived 46, Rejected 0, In line 100, at 11:12:0
133, arrived 40, Rejected 0, In line 98, at 11:13:0
134, arrived 38, Rejected 0, In line 94, at 11:14:0
135, arrived 49, Rejected 0, In line 101, at 11:15:0
136, arrived 37, Rejected 0, In line 96, at 11:16:0
137, arrived 50, Rejected 0, In line 104, at 11:17:0
138, arrived 38, Rejected 0, In line 100, at 11:18:0
139, arrived 49, Rejected 0, In line 107, at 11:19:0
140, arrived 36, Rejected 0, In line 101, at 11:20:0
141, arrived 56, Rejected 0, In line 115, at 11:21:0
142, arrived 34, Rejected 0, In line 107, at 11:22:0
143, arrived 45, Rejected 0, In line 110, at 11:23:0
144, arrived 39, Rejected 0, In line 107, at 11:24:0
145, arrived 40, Rejected 0, In line 105, at 11:25:0
146, arrived 51, Rejected 0, In line 114, at 11:26:0
147, arrived 49, Rejected 0, In line 121, at 11:27:0
148, arrived 48, Rejected 0, In line 127, at 11:28:0
149, arrived 58, Rejected 0, In line 143, at 11:29:0
150, arrived 47, Rejected 0, In line 148, at 11:30:0
151, arrived 50, Rejected 0, In line 156, at 11:31:0
152, arrived 36, Rejected 0, In line 150, at 11:32:0
153, arrived 38, Rejected 0, In line 146, at 11:33:0
154, arrived 45, Rejected 0, In line 149, at 11:34:0
155, arrived 36, Rejected 0, In line 143, at 11:35:0
156, arrived 35, Rejected 0, In line 136, at 11:36:0
157, arrived 39, Rejected 0, In line 133, at 11:37:0
158, arrived 44, Rejected 0, In line 135, at 11:38:0
159, arrived 51, Rejected 0, In line 144, at 11:39:0
160, arrived 46, Rejected 0, In line 148, at 11:40:0
161, arrived 50, Rejected 0, In line 156, at 11:41:0
162, arrived 34, Rejected 0, In line 148, at 11:42:0
163, arrived 38, Rejected 0, In line 144, at 11:43:0
164, arrived 77, Rejected 0, In line 179, at 11:44:0
165, arrived 39, Rejected 0, In line 176, at 11:45:0
166, arrived 53, Rejected 0, In line 187, at 11:46:0
167, arrived 37, Rejected 0, In line 182, at 11:47:0
168, arrived 65, Rejected 0, In line 205, at 11:48:0
169, arrived 35, Rejected 0, In line 198, at 11:49:0
170, arrived 53, Rejected 0, In line 209, at 11:50:0
171, arrived 35, Rejected 0, In line 202, at 11:51:0
172, arrived 28, Rejected 0, In line 188, at 11:52:0
173, arrived 55, Rejected 0, In line 201, at 11:53:0
174, arrived 46, Rejected 0, In line 205, at 11:54:0
175, arrived 39, Rejected 0, In line 202, at 11:55:0
176, arrived 38, Rejected 0, In line 198, at 11:56:0
177, arrived 43, Rejected 0, In line 199, at 11:57:0
178, arrived 54, Rejected 0, In line 211, at 11:58:0
179, arrived 51, Rejected 0, In line 220, at 11:59:0
180, arrived 42, Rejected 0, In line 220, at 12:0:0
181, arrived 46, Rejected 0, In line 224, at 12:1:0
182, arrived 46, Rejected 0, In line 228, at 12:2:0
183, arrived 44, Rejected 0, In line 230, at 12:3:0
184, arrived 48, Rejected 0, In line 236, at 12:4:0
185, arrived 37, Rejected 0, In line 231, at 12:5:0
186, arrived 45, Rejected 0, In line 234, at 12:6:0
187, arrived 50, Rejected 0, In line 242, at 12:7:0
188, arrived 41, Rejected 0, In line 241, at 12:8:0
189, arrived 62, Rejected 0, In line 261, at 12:9:0
190, arrived 46, Rejected 0, In line 265, at 12:10:0
191, arrived 53, Rejected 0, In line 276, at 12:11:0
192, arrived 49, Rejected 0, In line 283, at 12:12:0
193, arrived 47, Rejected 0, In line 288, at 12:13:0
194, arrived 33, Rejected 0, In line 279, at 12:14:0
195, arrived 49, Rejected 0, In line 286, at 12:15:0
196, arrived 51, Rejected 0, In line 295, at 12:16:0
197, arrived 55, Rejected 0, In line 308, at 12:17:0
198, arrived 53, Rejected 0, In line 319, at 12:18:0
199, arrived 51, Rejected 0, In line 328, at 12:19:0
200, arrived 59, Rejected 0, In line 345, at 12:20:0
201, arrived 49, Rejected 0, In line 352, at 12:21:0
202, arrived 54, Rejected 0, In line 364, at 12:22:0
203, arrived 60, Rejected 0, In line 382, at 12:23:0
204, arrived 48, Rejected 0, In line 388, at 12:24:0
205, arrived 45, Rejected 0, In line 391, at 12:25:0
206, arrived 38, Rejected 0, In line 387, at 12:26:0
207, arrived 51, Rejected 0, In line 396, at 12:27:0
208, arrived 53, Rejected 0, In line 407, at 12:28:0
209, arrived 36, Rejected 0, In line 401, at 12:29:0
210, arrived 47, Rejected 0, In line 406, at 12:30:0
211, arrived 40, Rejected 0, In line 404, at 12:31:0
212, arrived 47, Rejected 0, In line 409, at 12:32:0
213, arrived 40, Rejected 0, In line 407, at 12:33:0
214, arrived 48, Rejected 0, In line 413, at 12:34:0
215, arrived 42, Rejected 0, In line 413, at 12:35:0
216, arrived 42, Rejected 0, In line 413, at 12:36:0
217, arrived 40, Rejected 0, In line 411, at 12:37:0
218, arrived 35, Rejected 0, In line 404, at 12:38:0
219, arrived 47, Rejected 0, In line 409, at 12:39:0
220, arrived 40, Rejected 0, In line 407, at 12:40:0
221, arrived 47, Rejected 0, In line 412, at 12:41:0
222, arrived 45, Rejected 0, In line 415, at 12:42:0
223, arrived 58, Rejected 0, In line 431, at 12:43:0
224, arrived 41, Rejected 0, In line 430, at 12:44:0
225, arrived 46, Rejected 0, In line 434, at 12:45:0
226, arrived 49, Rejected 0, In line 441, at 12:46:0
227, arrived 37, Rejected 0, In line 436, at 12:47:0
228, arrived 44, Rejected 0, In line 438, at 12:48:0
